總日照 (小時)  - 京士柏
Total Bright Sunshine (hours) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,8.6,C
2024,1,2,3.1,C
2024,1,3,7.8,C
2024,1,4,8.8,C
2024,1,5,9.5,C
2024,1,6,9.3,C
2024,1,7,9.0,C
2024,1,8,6.6,C
2024,1,9,8.0,C
2024,1,10,9.0,C
2024,1,11,8.1,C
2024,1,12,7.7,C
2024,1,13,5.7,C
2024,1,14,5.4,C
2024,1,15,9.8,C
2024,1,16,5.7,C
2024,1,17,2.8,C
2024,1,18,8.3,C
2024,1,19,9.8,C
2024,1,20,7.9,C
2024,1,21,3.1,C
2024,1,22,0.0,C
2024,1,23,0.3,C
2024,1,24,4.4,C
2024,1,25,4.2,C
2024,1,26,5.1,C
2024,1,27,1.2,C
2024,1,28,0.1,C
2024,1,29,0.3,C
2024,1,30,0.2,C
2024,1,31,0.0,C
2024,2,1,5.2,C
2024,2,2,7.0,C
2024,2,3,3.7,C
2024,2,4,0.1,C
2024,2,5,0.5,C
2024,2,6,1.5,C
2024,2,7,0.0,C
2024,2,8,0.0,C
2024,2,9,0.1,C
2024,2,10,4.4,C
2024,2,11,10.4,C
2024,2,12,10.5,C
2024,2,13,8.9,C
2024,2,14,10.5,C
2024,2,15,9.7,C
2024,2,16,6.2,C
2024,2,17,2.2,C
2024,2,18,2.4,C
2024,2,19,1.1,C
2024,2,20,4.1,C
2024,2,21,9.5,C
2024,2,22,2.8,C
2024,2,23,0.0,C
2024,2,24,1.2,C
2024,2,25,3.1,C
2024,2,26,1.5,C
2024,2,27,0.5,C
2024,2,28,0.0,C
2024,2,29,0.3,C
2024,3,1,0.0,C
2024,3,2,0.4,C
2024,3,3,1.0,C
2024,3,4,0.7,C
2024,3,5,2.1,C
2024,3,6,2.4,C
2024,3,7,0.0,C
2024,3,8,7.2,C
2024,3,9,0.1,C
2024,3,10,0.0,C
2024,3,11,0.0,C
2024,3,12,11.3,C
2024,3,13,5.5,C
2024,3,14,5.1,C
2024,3,15,0.3,C
2024,3,16,0.1,C
2024,3,17,4.9,C
2024,3,18,0.0,C
2024,3,19,3.5,C
2024,3,20,10.5,C
2024,3,21,10.6,C
2024,3,22,6.8,C
2024,3,23,3.0,C
2024,3,24,10.7,C
2024,3,25,7.2,C
2024,3,26,8.6,C
2024,3,27,4.0,C
2024,3,28,4.4,C
2024,3,29,6.9,C
2024,3,30,5.4,C
2024,3,31,0.1,C
2024,4,1,0.9,C
2024,4,2,0.9,C
2024,4,3,2.2,C
2024,4,4,2.1,C
2024,4,5,0.7,C
2024,4,6,0.0,C
2024,4,7,2.7,C
2024,4,8,1.7,C
2024,4,9,0.0,C
2024,4,10,9.0,C
2024,4,11,7.5,C
2024,4,12,10.9,C
2024,4,13,9.9,C
2024,4,14,5.3,C
2024,4,15,5.2,C
2024,4,16,9.3,C
2024,4,17,6.5,C
2024,4,18,1.8,C
2024,4,19,0.7,C
2024,4,20,1.3,C
2024,4,21,0.0,C
2024,4,22,0.7,C
2024,4,23,0.6,C
2024,4,24,0.6,C
2024,4,25,1.7,C
2024,4,26,0.1,C
2024,4,27,0.3,C
2024,4,28,0.2,C
2024,4,29,2.2,C
2024,4,30,2.5,C
2024,5,1,0.0,C
2024,5,2,0.1,C
2024,5,3,0.0,C
2024,5,4,0.1,C
2024,5,5,4.8,C
2024,5,6,11.1,C
2024,5,7,7.6,C
2024,5,8,5.1,C
2024,5,9,5.6,C
2024,5,10,0.5,C
2024,5,11,6.2,C
2024,5,12,2.6,C
2024,5,13,3.7,C
2024,5,14,10.4,C
2024,5,15,11.4,C
2024,5,16,10.6,C
2024,5,17,4.9,C
2024,5,18,3.1,C
2024,5,19,0.1,C
2024,5,20,0.0,C
2024,5,21,0.1,C
2024,5,22,0.0,C
2024,5,23,0.4,C
2024,5,24,0.0,C
2024,5,25,1.3,C
2024,5,26,1.2,C
2024,5,27,0.4,C
2024,5,28,1.8,C
2024,5,29,4.2,C
2024,5,30,0.0,C
2024,5,31,0.3,C
2024,6,1,0.8,C
2024,6,2,6.9,C
2024,6,3,0.0,C
2024,6,4,0.2,C
2024,6,5,0.0,C
2024,6,6,0.4,C
2024,6,7,0.0,C
2024,6,8,1.7,C
2024,6,9,0.0,C
2024,6,10,3.1,C
2024,6,11,1.3,C
2024,6,12,6.2,C
2024,6,13,2.1,C
2024,6,14,0.0,C
2024,6,15,0.0,C
2024,6,16,1.3,C
2024,6,17,3.4,C
2024,6,18,1.3,C
2024,6,19,3.8,C
2024,6,20,6.6,C
2024,6,21,10.4,C
2024,6,22,9.3,C
2024,6,23,8.5,C
2024,6,24,6.7,C
2024,6,25,5.5,C
2024,6,26,10.5,C
2024,6,27,9.8,C
2024,6,28,8.4,C
2024,6,29,4.8,C
2024,6,30,3.3,C
2024,7,1,5.6,C
2024,7,2,2.9,C
2024,7,3,9.4,C
2024,7,4,7.4,C
2024,7,5,7.1,C
2024,7,6,8.4,C
2024,7,7,10.6,C
2024,7,8,9.1,C
2024,7,9,9.3,C
2024,7,10,10.4,C
2024,7,11,6.3,C
2024,7,12,7.1,C
2024,7,13,8.9,C
2024,7,14,7.5,C
2024,7,15,5.1,C
2024,7,16,2.9,C
2024,7,17,8.4,C
2024,7,18,3.0,C
2024,7,19,0.7,C
2024,7,20,5.5,C
2024,7,21,3.7,C
2024,7,22,8.5,C
2024,7,23,11.1,C
2024,7,24,3.8,C
2024,7,25,10.1,C
2024,7,26,0.0,C
2024,7,27,0.0,C
2024,7,28,0.0,C
2024,7,29,0.5,C
2024,7,30,3.9,C
2024,7,31,1.1,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
